Family,Genus,Species,Common Name,Newsletter
Pardalotidae,Acanthiza,reguloides,Buff-Rumped Thornbill,
Apideae,Amegilla,cingulata,Common Blue banded Bee,Dec-14
Scarabaeidae;,Anoplognathus,parapulchella,Christmas Beetle,Jan-15
Apideae,Apis,mellifera,Western (European) Honeybees,Nov-14
Pygopodidae,Aprasia,novaehollandiae,Pink-tailed worm-lizard,
Artamidae,Artamus,cyanopterus,Dusky Woodswallow,
Calliphoridae,Calliphora,augur,Lesser Brown Blowfly or Bluebodied Blowfly,Jan-14
Anthelidae,Chelepteryx,collesi,White-stemmed Gum Moth,Feb-15
Anatidae,Chenonetta,jubata,Australian Wood Duck,
Parastacidae,Cherax,destructor,Yabby,Mar-13
Gekkonidae,Christinus,marmoratus,Marbled Gecko,Apr-12
Corvidae,Corvis,coronoides,Australian Raven,Jan-09
Artamidae,Cracticus,tibicen,Australian Magpie,
Scincidae,Ctenotus,robustus,Eastern Striped Skink,
Scincidae,Egernia,cunninghami,Cunningham's skink,Mar-11
Cacatuidae,Eolophus,roseicapilla,Galah,
Nymphalidae,Heteronympha,merope,Common Brown Butterfly,Apr-11
Macropodidae,Macropus,giganteus,Eastern Grey Kangaroo,
Macropodidae,Macropus,rufogriseus,Red-necked Wallaby,Mar-15
Meliphagidae,Manorina,melanocephala,Noisy Miner,Dec-12
Syrphidae,Melangyna,viridiceps,Common Hover Fly,Dec-13
Muscidae,Musca,vetustissima,Australian bush fly,Nov-13
Pachycephalidae,Pachycephala,pectoralis,Australian Golden Whistler,
Columbidae,Phaps,chalcoptera,Common Bronzewing,Jul-10
Agamidae,Pogona,barbata,Eastern bearded dragon,
Elapidae,Pseudechis,porphyriacus,Red-Belly Black Snake,
Elapidae,Pseudonaja,textilis,Easter Brown Snake,
Policipedidae,Tachybaptus,novaehollandiae,Australasian Grebe,Jun-13
Tachyglossidae,Tachyglossus,aculeatus,Short-beaked echidna,
Estrildidae,Taeniopygia,bichenovii,Double-Barred finch,Jun-12
Scincidae,Tiliqua,Scincoides,Eastern Blue Tongued Lizard,
Vombatidae,Vombatus,ursinus,Common Wombat,Sep-13
