id,source,easting,northing,latitude,longitude,size,density,health,burnt,comment,creation_date,last_updated_date
1,Grid,685921,6083904,-35.37087886,149.0465866," Medium",Thin,[Unknown],All,,2016-04-25,2016-04-25
2,Grid,685921,6083895,-35.37095996,149.0465886,Small,[Unknown],Dead,[Unknown],,2016-04-25,2016-04-25
3,Grid,685922,6083919,-35.37074351,149.0465942,Large,[Unknown],Good,All,,2016-04-25,2016-04-25
4,Grid,685915,6083940,-35.37055558,149.0465124,Large,[Unknown],Good,All,,2016-04-25,2016-04-25
5,Grid,685924,6083950,-35.37046379,149.0466091,Large,Thin,Good,All,,2016-04-25,2016-04-25
6,Grid,685914,6083957,-35.37040258,149.0464975,Large,Thick,Good,All,,2016-04-25,2016-04-25
7,Grid,685907,6083970,-35.37028674,149.0464176,Large,Thick,Good,All,,2016-04-25,2016-04-25
8,Grid,685888,6083956,-35.37041644,149.0462117,Large,Thick,Good,All,,2016-04-25,2016-04-25
9,Grid,685895,6083981,-35.37018985,149.046283,Large,[Unknown],Good,All,,2016-04-25,2016-04-25
10,Grid,685907,6083994,-35.37007047,149.0464121,Large,Thin,Good,All,,2016-04-25,2016-04-25
11,Grid,685918,6084009,-35.36993326,149.0465297,Small,Thin,Good,All,,2016-04-25,2016-04-25
12,Grid,685911,6084018,-35.36985346,149.0464506,"Very Large",Thick,Good,All,,2016-04-25,2016-04-25
13,Grid,685916,6084031,-35.36973538,149.0465027,Large,[Unknown],Poor,Part,,2016-04-25,2016-04-25
14,Grid,685886,6084040,-35.36965988,149.0461706,Large,Thick,Good,[Unknown],,2016-04-25,2016-04-25
15,Grid,685865,6084063,-35.36945653,149.0459343,Large,Thick,Good,All,,2016-04-25,2016-04-25
16,Grid,685864,6084057,-35.36951079,149.0459247,Large,Thick,Good,[Unknown],,2016-04-25,2016-04-25
17,Grid,685857,6084081,-35.36929582,149.0458422,Large,Thick,Good,[Unknown],,2016-04-25,2016-04-25
18,Grid,685856,6084107,-35.36906172,149.0458253,Large,Thick,Good,[Unknown],,2016-04-25,2016-04-25
19,Grid,685872,6084111,-35.36902269,149.0460004,Large,Thick,Good,[Unknown],,2016-04-25,2016-04-25
20,Grid,685887,6084133,-35.36882165,149.0461604,Large,Thick,Good,Part,,2016-04-25,2016-04-25
21,Grid,685862,6084173,-35.36846587,149.0458763,Large,[Unknown],Good,All,,2016-04-25,2016-04-25
22,Grid,685882,6084186,-35.368345,149.0460934,Large,[Unknown],Good,All,,2016-04-25,2016-04-25
23,Grid,685883,6084198,-35.36823668,149.0461017,[Unknown],[Unknown],Good,[Unknown],,2016-04-25,2016-04-25
24,Grid,685902,6084204,-35.36817907,149.0463093,"Very Large",[Unknown],Good,None,,2016-04-25,2016-04-25
25,Grid,685912,6084243,-35.36782577,149.0464104,Large,Thick,[Unknown],All,,2016-04-25,2016-04-25
26,Grid,685962,6084281,-35.36747403,149.0469519," Medium",[Unknown],Good,None,,2016-04-25,2016-04-25
27,Grid,685951,6084274,-35.36753916,149.0468324,Small,[Unknown],Good,None,,2016-04-25,2016-04-25
28,Grid,685940,6084275,-35.3675322,149.0467112,Large,[Unknown],Poor,None,,2016-04-25,2016-04-25
29,Grid,685958,6084312,-35.36719543,149.0469008,Small,[Unknown],Good,All,,2016-04-25,2016-04-25
30,Grid,685953,6084309,-35.3672234,149.0468465,Small,[Unknown],Good,None,,2016-04-25,2016-04-25
31,Grid,685906,6084318,-35.36715105,149.0463274,Huge,[Unknown],Good,All,,2016-04-25,2016-04-25
32,Grid,685863,6084300,-35.36732127,149.0458584,"Very Large",[Unknown],Good,All,,2016-04-25,2016-04-25
33,Grid,685847,6084274,-35.36755854,149.0456883,Huge,[Unknown],Good,All,,2016-04-25,2016-04-25
34,Grid,685895,6084390,-35.3665043,149.04619,Large,Thin,Good,All,,2016-04-25,2016-04-25
35,Grid,685888,6084365,-35.36673089,149.0461187,Small,[Unknown],Good,All,,2016-04-25,2016-04-25
36,Grid,685888,6084354,-35.36683001,149.0461212,Large,[Unknown],Good,All,,2016-04-25,2016-04-25
