Family,Genus,Species,Common Name,Newsletter
Asteraceae,,bathurstianus,,
Mimosaceae,Acacia,dealbata,Silver Wattle,Sep-16
Mimosaceae,Acacia,doratoxylon,Currawang,Oct-15
Mimosaceae,Acacia,genistifolia,Early Wattle,
Mimosaceae,Acacia,implexa,Hickory Wattle,
Mimosaceae,Acacia,mearnsii,Green /Black Wattle,
Mimosaceae,Acacia,melanoxylon,Blackwood,Oct-12
Mimosaceae,Acacia,rubida,Red-leaved Wattle,
Mimosaceae,Acacia,pravissima,Wedge-leaved Wattle,Oct-16
Mimosaceae,Acacia,siculiformis,Dagger Wattle,
Mimosaceae,Acacia*,baileyana,Cootamundra Wattle,
Mimosaceae,Acacia*,boormanii,Snowy River Wattle,
Mimosaceae,Acacia*,buxifolia,Box-leaved Wattle,
Mimosaceae,Acacia*,caesiella,Tableland Wattle,
Mimosaceae,Acacia*,calamifolia,Wallowa,
Mimosaceae,Acacia*,cultriformis,Knife-leaved Wattle,
Mimosaceae,Acacia*,decurrens,"Black, Green Wattle",
Mimosaceae,Acacia*,elata,Mountain Cedar Wattle,
Mimosaceae,Acacia*,floribunda,White Sally Wattle,
Mimosaceae,Acacia*,podalyriifolia,Queensland Silver Wattle,
Rosaceae,Acaena,novae-zelandiae,Bidgee-widgee,
Rosaceae,Acaena,ovina,Sheep's Burr,
Polygonaceae,Acetosella*,vulgaris,Sorrel,
Epacridaceae,Acrotriche,serrulata,Honeypots,
Poaceae,Agrostis*,stolonifera,Creeping Bent Grass,
Poaceae,Aira*,elegantissima,Maidenhair Grass,
Casuarinaceae,Allocasuarina,verticillata,Drooping Sheoak,
Amaranthaceae,Alternanthera*,nana,Hairy Joyweed,
Amaranthaceae,Alternanthera*,pungens,Khaki Weed,Apr-11
Amaranthaceae,Amaranthus*,albus,Tumbleweed,
Amaranthaceae,Amaranthus*,powellii,Powell's Amaranth,
Amaranthaceae,Amaranthus*,retroflexus,Red Root,
Poaceae,Amphibromus,nervosus,Common Swamp Wallaby Grass,
Boraginaceae,Amsinckia*,intermedia,Common Fiddleneck,
Loranthaceae,Amyema,miquelii,Box Mistletoe,
Primulaceae,Anagallis*,arvensis,Pimpernel,
Apocynaceae,Araujia*,sericifera,"Moth Vine, Mothplant",Sep-15
Asteraceae,Arctotheca*,calendula,Capeweed,
Poaceae,Aristida,ramosa,Purple Wire Grass,May-09
Anthericaceae,Arthropodium,milleflorum,Pale Vanilla Lily,
Anthericaceae,Arthropodium,minus,Small Vanilla Lily,
Asparagaceae,Asparagus*,officinalis,Asparagus,
Rubiaceae,Asperula,conferta,Common Woodruff,
Aspleniaceae,Asplenium,flabellifolium,Necklace Fern,
Epacridaceae,Astroloma,humifusum,Native Cranberry,
Poaceae,Austrodanthonia,auriculata,Lobed Wallaby Grass,
Poaceae,Austrodanthonia,caespitosa,Ringed Wallaby Grass,
Poaceae,Austrodanthonia,carphoides,Short Wallaby Grass,Dec-09
Poaceae,Austrodanthonia,eriantha,Hill Wallaby-grass,
Poaceae,Austrodanthonia,fulva,,
Poaceae,Austrodanthonia,laevis,,
Poaceae,Austrodanthonia,penicillata,Slender Wallaby Grass,
Poaceae,Austrodanthonia,pilosa,Smooth-flower Wallaby Grass,
Poaceae,Austrodanthonia,racemosa,,
Poaceae,Austrodanthonia,tenuior,,
Poaceae,Austrostipa,bigeniculata,Tall Spear Grass,
Poaceae,Austrostipa,densiflora,Foxtail Spear Grass,
Poaceae,Austrostipa,scabra subsp. falcata,,
Poaceae,Avena*,barbata,Bearded Oats,
Poaceae,Avena*,sativa,Oats,
Azollaceae,Azolla,filiculoides var. rubra,Azolla,
Berberidaceae,Berberis*,aquifolium,Oregon Grape,Oct-12
Euphorbiaceae,Bertya,rosmarinifolia,Bertya,
Poaceae,Bothriochloa,macra,Red-leg,
Sterculiaceae,Brachychiton,populneus,Kurrajong,Mar-09
Epacridaceae,Brachyloma,daphnoides,Daphne Heath,
Asteraceae,Brachyscome,spathulata,Spoon Daisy,
Poaceae,Briza *,minor,Shivery Grass,
Poaceae,Briza*,maxima,Quaking Grass,
Poaceae,Bromus*,catharticus,Prairie Grass,
Poaceae,Bromus*,diandrus,Great Brome,
Poaceae,Bromus*,hordeaceus,Soft Brome,
Poaceae,Bromus*,molliformis,Soft Brome,
Poaceae,Bromus*,rubens,Red Brome,
Boraginaceae,Buglossoides*,arvensis,Sheepwell,
Asphodelaceae,Bulbine,bulbosa,Bulbine Lily,
Pittosporaceae,Bursaria,spinosa ssp lasiophylla,Blackthorn,
Anthericaceae,Caesia,calliantha,Purple Grass Lily,
Asteraceae,Calotis,lappulacea,Yellow Burr Daisy,Apr-14
Brassicaceae,Capsella*,bursa-pastoris,Shepherd's Purse,
Asteraceae,Carduus*,pycnocephalus,Slender Thistle,
Cyperaceae,Carex,appressa,Tall Sedge,
Cyperaceae,Carex,breviculmis,Short-stem Sedge,Sep-14
Cyperaceae,Carex,inversa,Knob Sedge,
Asteraceae,Carthamus*,lanatus,Saffron Thistle,
Asteraceae,Carthamus*,tinctorius,Safflower,
Asteraceae,Cassinia,aculeata,Dolly Bush,
Asteraceae,Cassinia,longifolia,Shiny Cassinia,
Asteraceae,Cassinia,quinquefaria,Dogwood,
Lauraceae,Cassytha,pubescens,"Dodder, Devil's Twine",
Ulmaceae,Celtis,australis,"Thistle Tree, Southern Nettle Tree, European Hackberry, Micocoulier",Feb-14
Gentianaceae,Centaurium*,erythraea,Common Centaury,
Gentianaceae,Centaurium*,tenuiflorum,,Jan-12
Valerianaceae,Centranthus*,ruber,Kiss-me-quick,
Caryophyllaceae,Cerastium*,glomeratum,Mouse-ear Chickweed,Oct-09
Euphorbiaceae,Chamaesyce,drummondii,Caustic Weed,
